RednodeID BluenodeID targetNodeID reachProb
69 88 27 0.00000000
69 88 28 0.00000000
69 88 29 0.00000000
69 88 30 0.00000000
69 88 31 0.00000000
69 88 32 0.00000000
69 88 33 0.00000000
69 88 34 0.00000000
69 88 35 0.00000000
69 88 36 0.00000000
69 88 37 0.00000000
69 88 38 0.00000000
69 88 39 0.00000000
69 88 40 0.00000000
69 88 41 0.00000000
69 88 42 0.00000000
69 88 43 0.00000000
69 88 44 0.00000000
69 88 45 0.00000000
69 88 46 0.00000000
69 88 47 0.00000000
69 88 48 0.00000000
69 88 49 0.00000000
69 88 50 0.00000000
69 88 51 0.00000000
69 88 52 0.00000000
69 88 53 0.00000000
69 88 54 0.00000000
69 88 55 0.00000000
69 88 56 0.00000000
69 88 57 0.00000000
69 88 58 0.00000000
69 88 59 0.00000000
69 88 60 0.00000000
69 88 61 0.00000000
69 88 62 0.00000000
69 88 63 0.00000000
69 88 64 0.00000000
69 88 65 0.00094321
69 88 66 0.00094321
69 88 67 0.00000000
69 88 68 0.00000000
69 88 69 0.34458596
69 88 70 0.00000000
69 88 71 0.00000000
69 88 72 0.00031440
69 88 73 0.00000000
69 88 74 0.00000000
69 88 75 0.00031440
69 88 76 0.00094321
69 88 77 0.00188642
69 88 78 0.00000000
69 88 79 0.00000000
69 88 80 0.00000000
69 88 81 0.00000000
69 88 82 0.03144032
69 88 83 0.00000000
69 88 84 0.07734320
69 88 85 0.00000000
69 88 86 0.05533497
69 88 87 0.00000000
69 88 88 0.31440325
69 88 89 0.00000000
69 88 90 0.00031440
69 88 91 0.00000000
69 88 92 0.00031440
69 88 93 0.00000000
69 88 94 0.00000000
69 88 95 0.00000000
69 88 96 0.00000000
69 88 97 0.00000000
69 88 98 0.00000000
69 88 99 0.00000000
69 88 100 0.00000000
69 88 101 0.00000000
69 88 102 0.00000000
69 88 103 0.00000000
69 88 104 0.00000000
69 88 105 0.00000000
69 88 106 0.00974650
69 88 107 0.00000000
69 88 108 0.00000000
69 88 109 0.00000000
69 88 110 0.00000000
69 88 111 0.00000000
69 88 112 0.00000000
69 88 113 0.00000000
69 88 114 0.00000000
69 88 115 0.00000000
69 88 116 0.00000000
69 88 117 0.00000000
69 88 118 0.00000000
69 88 119 0.00000000
69 88 120 0.00000000
69 88 121 0.00000000
69 88 122 0.00000000
69 88 123 0.00000000
69 88 124 0.00000000
69 88 125 0.00000000
69 88 126 0.00000000
69 88 127 0.00000000
69 88 128 0.00000000
69 88 129 0.00188642
69 88 130 0.00000000
69 88 131 0.00000000
69 88 132 0.00000000
69 88 133 0.00000000
69 88 134 0.00000000
69 88 135 0.00000000
69 88 136 0.00000000
69 88 137 0.00000000
69 88 138 0.00000000
69 88 139 0.00000000
69 88 140 0.00000000
69 88 141 0.00000000
69 88 142 0.00000000
69 88 143 0.00031440
69 88 144 0.00000000
69 88 145 0.00000000
69 88 146 0.00000000
69 88 147 0.00000000
69 88 148 0.00000000
69 88 149 0.00000000
69 88 150 0.00000000
69 88 151 0.00000000
69 88 152 0.00000000
69 88 153 0.00000000
69 88 154 0.00031440
69 88 155 0.00000000
69 88 156 0.00000000
69 88 157 0.00000000
69 88 158 0.00000000
69 88 159 0.00000000
69 88 160 0.00062881
69 88 161 0.00000000
69 88 162 0.00000000
69 88 163 0.00000000
69 88 164 0.00000000
69 88 165 0.00000000
69 88 166 0.00000000
